리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13388793,be******,2024-03-20 10:41:18.734744,절판되서 못 읽고있었는데 다시 출간됐다니! 기대됩니다~박문호 박사님의 추천까지 더해져서..ㅎ 너무 좋네요,추천해요,4
13388744,sl******,2024-03-20 10:33:34.774715,"절판되어 꼭 읽어보고 싶었던 박문호 박사님의 책 기대되네요
빨리 받고 싶어요!",추천해요,4
13388735,dg***,2024-03-20 10:32:06.978336,박문호박사님의 추천인 책이니 기대됩니다,도움돼요,4
13388703,js*****,2024-03-20 10:28:40.62406,추천받은 책이 읽고 싶었는데 재출간되어 너무 좋습니다 빨리 받아서 읽고 싶어요!,최고예요,4
13388412,dm********,2024-03-20 09:40:29.250085,세가지 기술 필요해요. 일상생활에 잘 녹여내서 좀 더 가치있는 사람이되고싶네요~ 변화하는 시대에 꼭 필요한 사람이 되기를 기대하며 구매했습니다,집중돼요,4
13388410,my*******,2024-03-20 09:40:01.814924,예전부터 봐야지 봐야지 하며 미루다가 절판되었다는 소식을 들어서 속상했는데 다시 출간되어 바로 구입했습니다 ㅎㅎ 재출간한 이유를 잘 알겠네요 :) 너무 잘 읽었습니다!,집중돼요,4
13388404,co*******,2024-03-20 09:38:53.814485,"뇌과학전문가 박문호박사님의 추천도서   일류의조건..
자기개발에 그어떤책보다  최고의 도움이 될수있을것  같아요. 기대됩니다.",도움돼요,4
13388398,25*********************************,2024-03-20 09:36:32.837141,"요즘 자기계발 책에 관심이 깊었는데
이책이 다시 출간한다고해서 바로 구매했어요~ 기대되네요 ㅎㅎ",최고예요,4
13388392,ss*****,2024-03-20 09:35:56.617749,"저한테 가장 필요했던 책을 이제야 찾았습니다. 
보통 국내 저자의 책이 주로 저한테 맞는 편이었는데, 
그럼에도 항상 2% 부족함을 느껴왔었거든요. 
여기에서 제가 무엇이 부족했고 
앞으로의 일상 속에서 어떤 노력들로 채워가야 하는지
확실하게 배우게 된것 같습니다. 그 짧은 순간에 1독을 마쳤지만, 
두 세번정도 여유를 가지고 충분히 더 읽어보려 합니다.
그만큼 책 내용이 너무 좋네요 ",도움돼요,4
13388385,se*******,2024-03-20 09:34:48.395641,자기계발에 관심이 있었는데 지인추천으로 구매했어요~ 절판되었던 책이었는데 다시 구입가능해서 다행ㅎㅎ,추천해요,4
13388381,hy***,2024-03-20 09:34:09.583356,정말 읽어보고 싶던 책인데 재출간돼서 너무 기뻐요 빨리 읽어보고 싶습니다 ,추천해요,4
13388380,sw***,2024-03-20 09:34:04.538958,"자기계발서 친구에게 추천 받아 구매합니다!
말을 장황하게 늘어 놓기만 하는 저는 ’요약하는 힘‘ 파트가 가장 기대됩니다!",추천해요,4
13388378,kt*****,2024-03-20 09:33:29.358068,"요즘 자기계발 책에 관심이 많은데 기대됩니당!
박문호 박사님 추천이라 더 기대되네옹 ㅎㅎ구웃",추천해요,4
13388370,y4*************,2024-03-20 09:30:55.943366,자기개발 도서로 꼭 읽어야할 책이라고 친한언니가 그렇게 말했었는데..드뎌~~중고로도 구하기 힘들다는 일류의조건을 새책으로 영접하다니~~!!ㅎㅎ너무좋고 빨리 읽고싶네요^-^,추천해요,4
13388323,ae*******,2024-03-20 09:20:27.742885,"절판되어 무척 아쉬웠던 책입니다.
재출간 소식 듣고 바로 구입했어요.
얼른 받아보고 싶네요.",추천해요,4
